num,data,1,3,5,7,9,11,13,15,17,19,21,23,25,qtd,soma,media
230, 21/06/07,1,3,5,.,.,11,13,15,17,.,.,.,.,7,65, 9.29
231, 25/06/07,1,.,5,7,.,.,.,15,17,19,21,.,25,8,110, 13.75
232, 28/06/07,.,.,5,.,9,11,13,.,17,.,21,23,25,8,124, 15.50
233, 02/07/07,1,3,5,7,9,.,13,.,17,19,21,.,.,9,95, 10.56
234, 05/07/07,1,3,5,.,9,11,13,15,17,.,21,.,.,9,95, 10.56
235, 09/07/07,1,.,.,.,.,.,13,15,17,19,21,23,25,8,134, 16.75
236, 12/07/07,1,3,5,7,9,.,13,15,.,.,21,23,25,10,122, 12.20
237, 16/07/07,.,.,5,7,9,.,13,15,.,19,21,23,.,8,112, 14.00
238, 19/07/07,1,3,.,.,.,11,13,15,17,19,21,23,.,9,123, 13.67
239, 23/07/07,1,3,5,7,9,.,13,15,.,19,.,23,25,10,120, 12.00
240, 26/07/07,1,.,.,.,9,11,13,15,.,19,21,23,.,8,112, 14.00
241, 30/07/07,.,3,5,.,9,.,13,15,17,.,21,23,25,9,131, 14.56
242, 02/08/07,.,.,5,.,9,.,13,15,17,19,21,23,.,8,122, 15.25
243, 06/08/07,1,3,5,7,.,.,13,.,17,.,21,23,25,9,115, 12.78
244, 09/08/07,.,3,5,7,9,11,.,15,.,.,21,.,.,7,71, 10.14
245, 13/08/07,1,.,.,7,9,11,.,15,.,19,.,.,25,7,87, 12.43
246, 16/08/07,1,.,5,7,9,.,13,15,17,.,21,.,25,9,113, 12.56
247, 20/08/07,1,3,.,7,9,.,.,15,17,19,.,23,25,9,119, 13.22
248, 23/08/07,1,.,5,.,9,11,13,15,.,19,21,.,25,9,119, 13.22
249, 27/08/07,.,.,5,7,9,.,.,15,17,.,21,23,25,8,122, 15.25
250, 30/08/07,1,3,5,.,9,.,13,15,17,19,21,23,.,10,126, 12.60
251, 03/09/07,.,3,5,.,9,.,13,15,.,19,21,23,25,9,133, 14.78
252, 06/09/07,.,3,.,.,.,11,.,15,17,19,.,23,25,7,113, 16.14
253, 10/09/07,1,.,5,7,.,11,13,15,.,19,21,23,.,9,115, 12.78
254, 13/09/07,.,3,5,7,9,11,13,15,.,.,.,23,.,8,86, 10.75
255, 17/09/07,1,3,.,.,9,.,.,15,17,.,21,23,.,7,89, 12.71
256, 20/09/07,1,.,.,7,9,.,13,15,.,.,.,.,.,5,45, 9.00
257, 24/09/07,1,3,.,7,9,.,13,.,17,19,.,.,.,7,69, 9.86
258, 27/09/07,.,.,5,.,9,.,13,.,17,19,21,.,25,7,109, 15.57
259, 01/10/07,.,3,5,7,9,.,.,15,.,19,21,.,25,8,104, 13.00
260, 04/10/07,1,3,5,7,9,11,13,.,.,19,.,.,.,8,68, 8.50
261, 08/10/07,1,.,5,7,.,11,13,15,17,19,21,.,25,10,134, 13.40
