num,data,2,4,6,8,10,12,14,16,18,20,22,24,qtd,soma,media
155, 11/09/06,2,4,.,8,10,.,14,16,18,20,22,24,10,138, 13.80
156, 18/09/06,.,4,.,8,10,12,14,.,.,20,22,.,7,90, 12.86
157, 25/09/06,2,4,6,.,10,12,14,16,18,.,.,24,9,106, 11.78
158, 02/10/06,2,.,.,8,10,12,.,16,18,20,22,.,8,108, 13.50
159, 09/10/06,2,4,6,8,10,.,14,.,.,20,.,24,8,88, 11.00
160, 16/10/06,.,4,.,.,10,12,14,16,.,20,.,24,7,100, 14.29
161, 19/10/06,.,.,.,8,.,.,.,16,18,20,22,24,6,108, 18.00
162, 23/10/06,2,4,6,8,.,12,.,16,18,20,.,24,9,110, 12.22
163, 26/10/06,2,.,6,.,.,.,14,.,.,20,.,24,5,66, 13.20
164, 30/10/06,2,.,6,8,10,.,14,.,18,.,22,24,8,104, 13.00
165, 03/11/06,2,4,6,8,.,12,14,.,18,.,22,.,8,86, 10.75
166, 06/11/06,2,4,.,8,10,.,14,.,18,20,22,.,8,98, 12.25
167, 09/11/06,2,.,6,8,10,.,14,16,18,.,22,24,9,120, 13.33
168, 13/11/06,2,4,.,.,10,12,.,16,.,20,22,24,8,110, 13.75
169, 16/11/06,.,4,6,8,10,12,.,16,.,20,.,24,8,100, 12.50
170, 21/11/06,.,4,6,8,10,.,.,16,18,20,22,.,8,104, 13.00
171, 23/11/06,.,4,.,.,10,12,.,16,.,.,22,24,6,88, 14.67
172, 27/11/06,2,4,6,.,10,12,.,.,18,20,22,.,8,94, 11.75
173, 30/11/06,2,4,.,8,.,.,.,.,.,20,22,24,6,80, 13.33
174, 04/12/06,2,4,.,.,10,12,.,.,.,20,.,24,6,72, 12.00
175, 07/12/06,2,.,6,.,.,12,14,16,18,.,.,24,7,92, 13.14
176, 11/12/06,2,4,.,.,10,12,.,16,18,.,22,24,8,108, 13.50
177, 14/12/06,2,.,6,8,10,.,.,16,.,20,.,24,7,86, 12.29
178, 18/12/06,2,4,6,8,10,.,14,16,.,20,.,24,9,104, 11.56
179, 21/12/06,2,4,.,.,.,.,14,.,.,.,22,24,5,66, 13.20
180, 26/12/06,2,4,6,8,10,.,.,.,.,20,.,24,7,74, 10.57
181, 28/12/06,.,4,6,8,.,.,14,16,.,20,22,.,7,90, 12.86
182, 02/01/07,2,4,.,8,.,.,14,.,.,.,22,.,5,50, 10.00
183, 04/01/07,2,4,6,8,.,.,14,16,.,20,.,24,8,94, 11.75
184, 08/01/07,.,.,.,8,10,.,.,16,18,.,.,.,4,52, 13.00
185, 11/01/07,2,4,6,8,.,12,.,.,.,20,.,.,6,52, 8.67
186, 15/01/07,2,4,6,.,.,12,.,16,18,.,22,24,8,104, 13.00
187, 18/01/07,.,.,.,.,.,12,.,16,18,.,22,24,5,92, 18.40
188, 22/01/07,2,.,.,8,10,.,.,16,.,20,22,24,7,102, 14.57
189, 25/01/07,2,4,6,.,.,.,.,16,18,20,22,24,8,112, 14.00
190, 29/01/07,.,4,.,8,.,.,14,16,18,.,.,24,6,84, 14.00
191, 01/02/07,2,.,.,8,10,12,.,.,18,20,22,.,7,92, 13.14
192, 05/02/07,2,4,6,.,.,.,14,16,.,.,22,24,7,88, 12.57
193, 08/02/07,2,4,.,8,10,.,14,16,.,20,.,.,7,74, 10.57
194, 12/02/07,2,.,.,8,10,12,14,.,18,.,22,.,7,86, 12.29
195, 15/02/07,2,4,6,8,.,12,14,.,18,.,22,.,8,86, 10.75
196, 22/02/07,2,4,.,.,10,.,14,16,.,20,22,24,8,112, 14.00
197, 26/02/07,.,4,6,8,10,12,.,.,18,20,22,.,8,100, 12.50
198, 01/03/07,2,4,6,.,.,.,14,16,18,20,.,.,7,80, 11.43
199, 05/03/07,2,4,6,.,.,12,.,.,.,20,22,.,6,66, 11.00
200, 08/03/07,2,4,.,8,.,12,14,16,.,.,.,24,7,80, 11.43
201, 12/03/07,2,4,.,8,10,12,14,.,.,20,22,.,8,92, 11.50
202, 15/03/07,.,.,.,.,10,.,14,16,18,.,22,24,6,104, 17.33
203, 19/03/07,2,4,6,.,.,12,14,.,18,.,.,24,7,80, 11.43
204, 22/03/07,2,4,.,8,.,.,14,16,.,.,22,24,7,90, 12.86
205, 26/03/07,2,4,.,.,10,12,14,16,18,.,22,.,8,98, 12.25
206, 29/03/07,2,.,.,8,.,12,14,16,.,20,22,.,7,94, 13.43
207, 02/04/07,2,4,6,.,10,12,14,.,.,20,22,.,8,90, 11.25
208, 05/04/07,.,4,6,.,10,12,14,16,.,.,.,24,7,86, 12.29
209, 09/04/07,.,.,6,.,10,.,14,.,18,.,22,24,6,94, 15.67
210, 12/04/07,.,.,.,.,10,.,14,16,18,.,22,24,6,104, 17.33
211, 16/04/07,2,4,6,8,10,12,14,16,18,.,22,24,11,136, 12.36
212, 19/04/07,.,4,6,8,10,12,14,16,.,20,22,.,9,112, 12.44
213, 23/04/07,.,4,.,8,10,.,.,16,18,.,.,24,6,80, 13.33
214, 26/04/07,2,4,.,.,.,.,14,.,18,20,22,24,7,104, 14.86
215, 30/04/07,.,4,.,.,.,12,14,.,18,.,.,.,4,48, 12.00
216, 03/05/07,2,4,6,.,10,.,.,.,.,.,.,24,5,46, 9.20
217, 07/05/07,2,4,6,.,10,12,.,16,.,.,.,.,6,50, 8.33
218, 10/05/07,2,.,.,8,.,12,14,16,.,20,22,.,7,94, 13.43
219, 14/05/07,2,.,6,8,.,.,14,16,18,.,22,24,8,110, 13.75
220, 17/05/07,.,.,.,.,10,12,14,16,18,20,.,24,7,114, 16.29
221, 21/05/07,2,.,6,8,10,12,.,16,.,20,.,.,7,74, 10.57
222, 24/05/07,.,4,6,8,.,12,.,.,18,.,22,24,7,94, 13.43
223, 28/05/07,2,4,.,.,10,12,14,16,.,20,22,24,9,124, 13.78
224, 31/05/07,.,4,6,8,10,12,.,.,18,20,.,24,8,102, 12.75
225, 04/06/07,2,.,.,8,.,.,14,.,18,20,22,.,6,84, 14.00
226, 08/06/07,.,4,.,8,10,.,14,16,18,20,.,.,7,90, 12.86
227, 11/06/07,.,.,.,8,10,12,14,.,18,20,22,.,7,104, 14.86
228, 14/06/07,2,4,.,.,10,12,14,16,18,20,.,24,9,120, 13.33
229, 18/06/07,2,.,6,8,10,12,14,16,.,20,.,.,8,88, 11.00
230, 21/06/07,2,4,6,8,10,.,14,.,.,.,22,24,8,90, 11.25
231, 25/06/07,2,.,6,.,10,12,.,16,18,.,.,24,7,88, 12.57
