num,data,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,qtd,soma,media
192, 05/02/07,.,.,.,.,.,.,7,8,9,10,.,12,.,.,.,.,17,18,19,20,.,.,.,.,25,10,145, 14.50
193, 08/02/07,.,.,.,.,.,6,7,.,.,.,11,12,13,.,.,.,17,18,.,.,.,22,23,24,.,10,153, 15.30
194, 12/02/07,1,.,3,4,5,6,.,.,.,.,11,.,.,.,.,16,.,.,19,20,.,.,.,24,.,10,109, 10.90
195, 15/02/07,1,.,.,.,5,.,.,.,.,10,.,.,13,.,15,16,.,.,.,20,21,.,.,24,25,10,150, 15.00
196, 22/02/07,1,.,.,.,.,6,7,8,9,.,11,12,13,.,.,.,.,18,.,.,21,.,.,.,.,10,106, 10.60
197, 26/02/07,1,2,.,.,.,.,.,.,.,.,11,.,.,14,15,16,17,.,19,.,.,.,.,24,25,10,144, 14.40
198, 01/03/07,.,.,3,.,.,.,.,8,9,10,11,12,.,.,.,.,.,.,19,.,.,22,23,24,.,10,141, 14.10
199, 05/03/07,.,.,.,.,.,.,7,8,.,10,.,.,13,14,.,16,17,18,.,.,.,.,.,24,25,10,152, 15.20
200, 08/03/07,.,.,3,.,.,6,7,.,.,10,.,.,.,.,.,.,17,18,19,20,.,22,.,.,25,10,147, 14.70
201, 12/03/07,.,.,3,.,.,6,7,.,.,.,.,.,.,.,.,16,17,18,.,.,21,.,23,24,25,10,160, 16.00
202, 15/03/07,.,2,.,4,.,6,7,8,9,.,.,12,.,.,15,.,.,.,.,20,.,.,.,.,25,10,108, 10.80
