num,data,1,3,5,7,9,11,13,15,17,19,21,23,25,qtd,soma,media
192, 05/02/07,.,.,.,7,9,.,.,.,17,19,.,.,25,5,77, 15.40
193, 08/02/07,.,.,.,7,.,11,13,.,17,.,.,23,.,5,71, 14.20
194, 12/02/07,1,3,5,.,.,11,.,.,.,19,.,.,.,5,39, 7.80
195, 15/02/07,1,.,5,.,.,.,13,15,.,.,21,.,25,6,80, 13.33
196, 22/02/07,1,.,.,7,9,11,13,.,.,.,21,.,.,6,62, 10.33
197, 26/02/07,1,.,.,.,.,11,.,15,17,19,.,.,25,6,88, 14.67
198, 01/03/07,.,3,.,.,9,11,.,.,.,19,.,23,.,5,65, 13.00
199, 05/03/07,.,.,.,7,.,.,13,.,17,.,.,.,25,4,62, 15.50
200, 08/03/07,.,3,.,7,.,.,.,.,17,19,.,.,25,5,71, 14.20
201, 12/03/07,.,3,.,7,.,.,.,.,17,.,21,23,25,6,96, 16.00
202, 15/03/07,.,.,.,7,9,.,.,15,.,.,.,.,25,4,56, 14.00
203, 19/03/07,.,.,.,.,9,11,.,15,.,19,21,.,.,5,75, 15.00
204, 22/03/07,1,.,.,.,9,.,13,.,.,19,21,.,.,5,63, 12.60
205, 26/03/07,1,.,5,7,.,.,13,.,.,19,.,23,.,6,68, 11.33
206, 29/03/07,1,.,.,7,.,.,.,.,.,19,.,23,25,5,75, 15.00
207, 02/04/07,.,.,5,7,.,11,.,.,.,.,21,23,25,6,92, 15.33
208, 05/04/07,.,.,5,.,.,.,13,.,17,.,21,.,25,5,81, 16.20
209, 09/04/07,.,.,.,.,.,11,13,.,17,.,.,23,.,4,64, 16.00
210, 12/04/07,1,.,.,.,.,.,.,.,17,19,.,.,25,4,62, 15.50
211, 16/04/07,.,3,5,7,9,.,13,15,.,19,21,23,.,9,115, 12.78
212, 19/04/07,.,.,5,7,.,.,13,15,17,.,21,.,25,7,103, 14.71
213, 23/04/07,.,.,.,7,.,.,13,15,17,.,.,.,.,4,52, 13.00
214, 26/04/07,.,.,5,7,.,.,.,.,17,.,21,23,.,5,73, 14.60
215, 30/04/07,.,.,.,.,.,.,13,.,.,.,21,.,.,2,34, 17.00
216, 03/05/07,1,.,.,.,.,.,.,15,.,.,.,23,.,3,39, 13.00
217, 07/05/07,1,.,.,.,.,.,13,15,.,.,.,23,.,4,52, 13.00
218, 10/05/07,1,3,.,.,9,.,.,.,.,19,.,23,.,5,55, 11.00
219, 14/05/07,1,.,5,7,.,.,13,15,.,.,21,.,.,6,62, 10.33
220, 17/05/07,1,3,.,7,.,11,.,.,.,19,.,.,.,5,41, 8.20
